127.0.0.1 - - [18/Dec/2023:15:01:04 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/ HTTP/1.1" 200 12861
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/fontawesome-free-6.1.1-web/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/img/logo.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/img/banner7.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 280331
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/img/banner3.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 202441
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/img/shoe_1.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 216637
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/img/background_gach.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 480980
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/fontawesome-free-6.1.1-web/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /Project_Shoe/resources/fontawesome-free-6.1.1-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:06 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:09 +0700] "GET /Project_Shoe/resources/img/banner1.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 53352
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:09 +0700] "GET /Project_Shoe/resources/img/banner5.webp;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 117548
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:12 +0700] "GET /Project_Shoe/resources/img/banner6.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 79419
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:12 +0700] "GET /Project_Shoe/resources/img/banner2.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 820102
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:18 +0700] "GET /Project_Shoe/resources/img/banner8.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 8842
0:0:0:0:0:0:0:1 - - [18/Dec/2023:15:01:18 +0700] "GET /Project_Shoe/resources/img/banner4.jpg;jsessionid=43ED332A68B02D26D7BEA9073169378C HTTP/1.1" 200 605673
